college,price
Mueller College,26303.00
Brandeis University,26278.00
St Olaf College,26276.00
Tufts University,26274.00
Denver School of Nursing,26257.00
The Art Institute of Charlotte,26240.00
Lawrence University,26229.00
DeVry University-Tennessee,26220.00
Bauder College,26167.00
DeVry University-Colorado,26141.00
Fortis College-Tampa,26138.00
Post University,26113.00
Moravian College and Moravian Theological Seminary,26107.00
Shorter University-College of Adult & Professional Programs,26100.00
Le Cordon Bleu College of Culinary Arts-Cambridge,26089.00
International Academy of Design and Technology-Tampa,26081.00
The Illinois Institute of Art-Schaumburg,26060.00
DeVry University-Nevada,26056.00
Merrimack College,26003.00
Cabrini College,25988.00
Wittenberg University,25981.00
The Art Institute of California_Sunnyvale,25970.00
New England Institute of Technology,25969.00
Rochester Institute of Technology,25964.00
Lafayette College,25963.00
The Art Institute of San Antonio,25963.00
South University-Columbia,25962.00
Fairleigh Dickinson University-College at Florham,25951.00
Regis University,25941.00
Saint Joseph Seminary College,25935.00
Ohio Wesleyan University,25917.00
Prescott College,25882.00
Furman University,25877.00
Kansas City Art Institute,25874.00
Everest College-Phoenix,25869.00
DeVry University-North Carolina,25866.00
Neumann University,25864.00
St John's University-New York,25840.00
DeVry University-Washington,25831.00
Commonwealth Technical Institute,25824.00
Johns Hopkins University,25795.00
Bryn Mawr College,25791.00
Culinary Institute Inc,25749.00
The Ailey School,25746.00
Siena College,25734.00
Whittier College,25733.00
Xavier University,25729.00
Laguna College of Art and Design,25712.00
University of Dayton,25664.00
Conception Seminary College,25657.00
Daymar College-Bowling Green,25613.00
Design Institute of San Diego,25610.00
Shenandoah University,25592.00
Alvernia University,25574.00
Broadview University-West Jordan,25567.00
Roanoke College,25566.00
Susquehanna University,25564.00
Assumption College,25563.00
Le Cordon Bleu College of Culinary Arts-Chicago,25562.00
Washington & Jefferson College,25561.00
AmeriTech College-Draper,25560.00
Rhodes College,25540.00
Shimer College,25539.00
Le Cordon Bleu College of Culinary Arts-Scottsdale,25532.00
Adelphi University,25516.00
Warren Wilson College,25512.00
The Juilliard School,25496.00
Brown College-Brooklyn Center,25488.00
Mount Angel Seminary,25482.00
Bard College,25475.00
Albright College,25453.00
Eastwick College,25442.00
Minneapolis Media Institute,25440.00
Antonelli Institute,25439.00
Johnson & Wales University-Denver,25433.00
The Art Institute of California-Los Angeles,25396.00
Oakwood University,25389.00
California Institute of Technology,25382.00
DeVry University-Wisconsin,25380.00
DeVry University-Georgia,25379.00
Strayer University-Texas,25379.00
Ross Medical Education Center-Davison,25378.00
The Kings College,25361.00
Everest College-Reseda,25359.00
Everest College-McLean,25325.00
Rosedale Technical Institute,25310.00
ATA College,25304.00
St John's College,25302.00
Johnson & Wales University-Providence,25285.00
Sullivan University,25260.00
Everest College-West Valley City,25255.00
DeVry University-Kentucky,25248.00
Boston Architectural College,25211.00
St Lawrence University,25208.00
The Creative Circus,25191.00
New England College,25180.00
Monmouth University,25167.00
Saint Joseph's College of Maine,25161.00
Lincoln College of Technology-Florence,25157.00
Paul Smiths College of Arts and Science,25156.00
Wheelock College,25146.00
Allegheny College,25140.00
Sullivan College of Technology and Design,25137.00
South College,25127.00
Professional Golfers Career College,25115.00
Laboure College,25113.00
Emory University,25094.00
Elizabethtown College,25065.00
South University-West Palm Beach,25063.00
DeVry University-Illinois,25041.00
Pacific University,25033.00
The Art Institute of Seattle,25031.00
Roosevelt University,25011.00
The Art Institute of California-Sacramento,25002.00
Le Cordon Bleu College of Culinary Arts-Orlando,24994.00
Collins College,24988.00
Lebanon Valley College,24984.00
Daymar Institute-Murfreesboro,24978.00
Creighton University,24970.00
Daymar Institute-Nashville,24956.00
Le Cordon Bleu College of Culinary Arts-Las Vegas,24945.00
Living Arts College,24939.00
South College-Asheville,24931.00
Green Mountain College,24925.00
Stratford University,24909.00
Brown Mackie College-Hopkinsville,24869.00
East-West University,24859.00
Trinity University,24842.00
Remington College-Fort Worth Campus,24830.00
Saint Augustines College,24829.00
Meredith Manor International Equestrian Center,24812.00
Douglas Education Center,24809.00
DeVry University-Missouri,24795.00
Omaha School of Massage and Healthcare of Herzing University,24788.00
MedTech College_Lexington Campus,24781.00
Willamette University,24769.00
Metropolitan Career Center Computer Technology Institute,24768.00
Pacific Northwest College of Art,24750.00
DeVry University-Indiana,24731.00
American Academy of Art,24719.00
Saint Elizabeth School of Nursing,24712.00
Brown Mackie College-Quad Cities,24696.00
Hampden-Sydney College,24679.00
Ohio Northern University,24671.00
Medvance Institute-Fort Lauderdale,24663.00
Mount St Mary's University,24660.00
Clark Atlanta University,24653.00
Kaplan University-Lincoln Campus,24651.00
University of Notre Dame,24632.00
DeVry University-Virginia,24632.00
Joe Kubert School of Cartoon and Graphic Art,24629.00
Penn Commercial Business/Technical School,24620.00
Brown Mackie College-San Antonio,24611.00
Messiah College,24600.00
Chamberlain College of Nursing-Ohio,24592.00
Valley College-Beckley,24587.00
Le Cordon Bleu College of Culinary Arts-Austin,24573.00
The Art Institute of California-Hollywood,24564.00
Golf Academy of America-Carlsbad,24560.00
Williamson Christian College,24549.00
Delaware Valley College,24547.00
Milwaukee School of Engineering,24546.00
Strayer University-West Virginia,24543.00
Iona College,24513.00
Lehigh University,24510.00
Northwest Technical Institute,24508.00
Minnesota School of Business-Richfield,24507.00
Becker College,24501.00
Duluth Business University,24501.00
Mount St. Mary's College,24478.00
Brown Mackie College-Indianapolis,24478.00
Daymar College-Scottsville,24462.00
Abilene Christian University,24444.00
Centura College-Richmond Westend,24426.00
Globe University_Green Bay,24401.00
Taylor University,24392.00
Newbury College-Brookline,24389.00
Everest University-Brandon,24389.00
Hesser College,24377.00
ITT Technical Institute_Aurora,24375.00
Lincoln College of Technology-West Palm Beach,24373.00
Pennsylvania Academy of the Fine Arts,24372.00
Brown Mackie College-Miami,24370.00
Everest College-City of Industry,24358.00
Western International University,24340.00
Madison Media Institute,24335.00
Calvin College,24334.00
North Carolina Wesleyan College,24325.00
Broadview University-Orem,24308.00
Minnesota School of Business-Shakopee,24307.00
Daymar College-Lancaster,24302.00
Daniel Webster College,24301.00
Milwaukee Institute of Art & Design,24285.00
Inland Massage Institute,24274.00
Everest College-West Los Angeles,24272.00
The University of Tampa,24264.00
Cornell University,24249.00
Oklahoma City University,24233.00
Wentworth Military Academy & Junior College,24230.00
The Master's College and Seminary,24223.00
University of Rio Grande,24220.00
Bryan College-Springfield,24218.00
VanderCook College of Music,24206.00
Clarkson University,24205.00
DePaul University,24205.00
Northcentral University,24198.00
Arcadia University,24191.00
Johnson & Wales University-Charlotte,24187.00
DeVry University-Texas,24182.00
Whitworth University,24174.00
Expression College for Digital Arts,24157.00
Seattle Pacific University,24151.00
Duquesne University,24148.00
Brown Mackie College-Salina,24143.00
College of Saint Benedict,24141.00
Webster University,24130.00
Brown Mackie College-Louisville,24126.00
Mercyhurst College,24123.00
Brown Mackie College-Northern Kentucky,24100.00
Colby-Sawyer College,24097.00
Nazareth College,24058.00
Keiser Career College-Jacksonville,24044.00
Daymar College-New Boston,24038.00
DePauw University,24033.00
University of Redlands,24032.00
Franklin and Marshall College,24005.00
Southern California Seminary,24002.00
The Art Institute of California-San Diego,23989.00
Centura College-Norfolk,23988.00
Harcum College,23970.00
DeVry University-Arizona,23949.00
Kaplan University-Des Moines Campus,23944.00
Walden University,23932.00
Everest College-Arlington,23930.00
Clark University,23926.00
Everest College-Portland,23926.00
Mount Holyoke College,23910.00
Daymar College-Jackson,23909.00
DeVry University-Florida,23906.00
Lincoln College of New England-Southington,23873.00
The Art Institute of California-Inland Empire,23866.00
Sewanee-The University of the South,23851.00
Globe University-Woodbury,23843.00
Valley College-Princeton,23841.00
Concordia University-Irvine,23817.00
Juniata College,23814.00
Sweet Briar College,23812.00
Valley College-Martinsburg,23807.00
Pacific Union College,23792.00
ITT Technical Institute-Indianapolis,23785.00
Saint Johns University,23776.00
Holy Name Medical Center School of Nursing,23766.00
Medvance Institute-Baton Rouge,23752.00
Bethel University,23742.00
Boston College,23742.00
Centura College-Columbia,23739.00
Manhattanville College,23729.00
Union University,23727.00
Kaplan University-Omaha Campus,23708.00
Stephens College,23706.00
Globe University_Madison West,23701.00
City College-Gainesville,23687.00
Kaplan University-Cedar Rapids Campus,23673.00
Drake University,23670.00
The College of Wooster,23668.00
Coleman University,23664.00
Hope College,23660.00
Globe University_Wausau,23657.00
Wheaton College,23640.00
Davidson College,23623.00
Argosy University-Dallas,23620.00
Brown Mackie College-Tucson,23609.00
Argosy University-Tampa,23597.00
Brown Mackie College-Akron,23597.00
Dean College,23590.00
Randolph-Macon College,23589.00
Brown Mackie College-Fort Wayne,23584.00
Guilford College,23583.00
San Diego Christian College,23535.00
Brown Mackie College-Cincinnati,23531.00
Dorsey Business Schools-Madison Heights,23525.00
MedTech College-Ft Wayne Campus,23520.00
Nichols College,23493.00
Globe University-Sioux Falls,23489.00
Everest College-Bremerton,23488.00
Brown Mackie College-North Canton,23477.00
Daymar College-Chillicothe,23476.00
Delaware College of Art and Design,23465.00
Hartwick College,23459.00
Southern New Hampshire University,23446.00
DeVry University-Ohio,23439.00
Elmira College,23434.00
Beloit College,23421.00
La Salle University,23418.00
Lawrence Technological University,23415.00
Ohio Christian University,23413.00
Brown Mackie College-Merrillville,23412.00
Connecticut College,23409.00
Le Cordon Bleu College of Culinary Arts-Portland,23385.00
University of Phoenix-Boston Campus,23384.00
Minnesota School of Business-Brooklyn Center,23378.00
Naropa University,23374.00
Middlebury College,23363.00
International Academy of Design and Technology-Seattle,23356.00
Westwood College-Arlington Ballston,23352.00
Brown Mackie College-Michigan City,23341.00
Morehouse College,23324.00
Wabash College,23324.00
Brown Mackie College-Kansas City,23323.00
Le Cordon Bleu College of Culinary Arts-Miami,23322.00
University of Bridgeport,23316.00
Everest College-Vancouver,23303.00
Minnesota School of Business-Rochester,23294.00
Unitek College,23289.00
Luther College,23284.00
George Fox University,23272.00
Dorsey Business Schools-Saginaw,23265.00
Anna Maria College,23259.00
ITT Technical Institute_Madison,23257.00
Brown Mackie College-South Bend,23256.00
Polytechnic University of Puerto Rico-Miami Campus,23251.00
American InterContinental University-South Florida,23250.00
Everest Institute-Hialeah,23243.00
Lynchburg College,23239.00
Colorado Christian University,23220.00
Professional Skills Institute,23217.00
Colorado Technical University-Sioux Falls,23212.00
Saint Joseph College,23206.00
DeVry College of New York,23205.00
University of Phoenix-Southern California Campus,23203.00
Cogswell College,23201.00
The College of Westchester,23181.00
Woodbury University,23177.00
Columbus College of Art and Design,23175.00
Le Moyne College,23174.00
Brown College-Mendota Heights,23162.00
Long Island University-C W Post Campus,23157.00
Westwood College-Annandale,23137.00
Brown Mackie College-Boise,23126.00
Southwestern University,23120.00
Franciscan University of Steubenville,23111.00
University of Phoenix-Cleveland Campus,23102.00
Columbia College Hollywood,23100.00
ITT Technical Institute-St. Petersburg,23069.00
ITT Technical Institute_Clive,23068.00
Claremont McKenna College,23064.00
California College-San Diego,23049.00
MedTech College,23047.00
University of Tulsa,23031.00
La Sierra University,23027.00
Virginia Wesleyan College,23019.00
Commonwealth Institute of Funeral Service,23012.00
University of Phoenix-St Louis Campus,23008.00
Globe University-Appleton,22999.00
Lyme Academy College of Fine Arts,22997.00
Utica College,22997.00
American InterContinental University-Houston,22992.00
Florida Keys Community College,22933.00
Walla Walla University,22932.00
The Art Institute of Houston,22927.00
Bradley University,22920.00
Vaughn College of Aeronautics and Technology,22887.00
Mount Saint Mary College,22882.00
Duke University,22879.00
D & L Academy of Hair Design,22875.00
Barnard College,22868.00
University of Phoenix-Metro Detroit Campus,22860.00
Regis College,22859.00
DeVry University-Michigan,22856.00
Mount Mercy University,22854.00
University of Phoenix-Bay Area Campus,22842.00
University of Phoenix-Central Valley Campus,22837.00
Centura Institute,22831.00
Fortis College-Cincinnati,22810.00
Loyola University-New Orleans,22808.00
Globe University-Eau Claire,22791.00
St Joseph School of Nursing,22788.00
Fortis College-Cuyahoga Falls,22788.00
College of the Holy Cross,22778.00
Wilkes University,22773.00
Chamberlain College of Nursing-Missouri,22769.00
International Academy of Design and Technology-Henderson,22769.00
Dunwoody College of Technology,22757.00
Evangel University,22749.00
University of Phoenix-Sacramento Valley Campus,22748.00
Brown University,22743.00
University of Phoenix-Western Washington Campus,22740.00
Lake Forest College,22738.00
Everest College-San Bernardino,22735.00
Eastern University,22722.00
Wells College,22718.00
Manhattan College,22717.00
ITT Technical Institute-Albuquerque,22714.00
Brown Mackie College-Atlanta,22712.00
Montserrat College of Art,22682.00
Yeshiva University,22682.00
Westwood College-Northlake,22678.00
ITT Technical Institute-Hilliard,22675.00
The College of Saint Rose,22668.00
Bryan University,22658.00
University of Great Falls,22653.00
St. Andrews University,22649.00
Chester College of New England,22638.00
ITT Technical Institute-Cary,22632.00
ITT Technical Institute-Eden Prairie,22632.00
Otterbein University,22624.00
Colorado Technical University-Online,22619.00
ITT Technical Institute-Oklahoma City,22610.00
Gustavus Adolphus College,22597.00
University of Phoenix-Austin Campus,22593.00
Smith College,22586.00
Westwood College-River Oaks,22586.00
Long Island University-Brooklyn Campus,22564.00
Tuskegee University,22564.00
Chestnut Hill College,22563.00
ITT Technical Institute_Cedar Rapids,22557.00
Norwich University,22552.00
International Academy of Design and Technology-Sacramento,22552.00
University of Phoenix-San Antonio Campus,22546.00
Hollins University,22541.00
Bowdoin College,22525.00
The College of Saint Scholastica,22518.00
University of Phoenix-Utah Campus,22515.00
Prince Institute of Professional Studies Inc,22507.00
Samford University,22506.00
ITT Technical Institute_North Charleston,22501.00
Trine University,22494.00
Westwood College-Los Angeles,22494.00
Linfield College-McMinnville Campus,22482.00
Remington College-Little Rock Campus,22480.00
Brown Mackie College-Greenville,22471.00
ITT Technical Institute-Henderson,22465.00
Centre College,22462.00
ITT Technical Institute_Akron,22445.00
ITT Technical Institute-Omaha,22444.00
Brown Mackie College-Findlay,22443.00
Dorsey Business Schools-Roseville,22442.00
Scripps College,22441.00
Aviation Institute of Maintenance-Atlanta,22440.00
Everest Institute-Fort Lauderdale,22440.00
ITT Technical Institute-Westminster,22439.00
Argosy University-Atlanta,22438.00
Pepperdine University,22436.00
Regent University,22434.00
Everest Institute-North Miami,22434.00
Colorado College,22430.00
University of Phoenix-South Florida Campus,22423.00
Dorsey Business Schools-Wayne,22399.00
Bay State College,22387.00
Dorsey Business Schools-Roseville Culinary Academy,22384.00
DeVry University-California,22378.00
ITT Technical Institute-Louisville,22378.00
Macalester College,22376.00
O'More College of Design,22370.00
University of Phoenix-Houston Campus,22352.00
Argosy University-Schaumburg,22351.00
Tidewater Tech-Trades,22350.00
Centura College-North Charleston,22331.00
Stevenson University,22328.00
ITT Technical Institute-Columbus,22328.00
University of Phoenix-San Diego Campus,22325.00
Virginia College-Birmingham,22321.00
Court Reporting Institute-Wheeler Institute of Texas,22321.00
Pittsburgh Institute of Aeronautics,22320.00
Johnson & Wales University-North Miami,22316.00
King's College,22301.00
Westminster College,22291.00
Fashion Careers College,22279.00
University of Phoenix-Columbus Ohio Campus,22278.00
University of Phoenix-Minneapolis/St Paul Campus,22278.00
Alfred University,22274.00
Dorsey Business Schools-Farmington Hills,22268.00
ITT Technical Institute-Green Bay,22266.00
Saint Ambrose University,22261.00
Spencerian College,22250.00
Pacific Lutheran University,22249.00
University of Phoenix-Northern Nevada Campus,22245.00
Washington Bible College-Capital Bible Seminary,22243.00
Everest Institute-Kendall,22239.00
University of Phoenix-Milwaukee Campus,22231.00
Schiller International University,22229.00
University of Phoenix-Kansas City Campus,22228.00
ITT Technical Institute-Warrensville Heights,22222.00
Miami University-Oxford,22210.00
Broadview University-Layton,22209.00
ITT Technical Institute-Wyoming,22204.00
Northwest School of Wooden Boat Building,22204.00
University of Phoenix-Cincinnati Campus,22202.00
Knox College,22201.00
ITT Technical Institute-Chattanooga,22197.00
University of Phoenix-Wichita Campus,22196.00
ITT Technical Institute-Norfolk,22186.00
University of Mary Hardin-Baylor,22185.00
Brown Mackie College-Phoenix,22181.00
Anderson University,22179.00
Carlos Albizu University-Miami,22178.00
ITT Technical Institute-Greenfield,22174.00
University of Phoenix-West Michigan Campus,22165.00
ITT Technical Institute_Madison,22155.00
Wesleyan University,22154.00
University of Phoenix-Central Florida Campus,22150.00
Rivier College,22149.00
Aviation Institute of Maintenance-Kansas City,22148.00
Everest College-Mesa,22139.00
Nova Southeastern University,22130.00
Bellarmine University,22128.00
ITT Technical Institute_Springfield,22127.00
Belmont Abbey College,22126.00
ITT Technical Institute_Charlotte North,22121.00
Argosy University-Sarasota,22110.00
ITT Technical Institute_Huntington,22104.00
